vector_type,vector_size,iteration,execution_time
0,1000,1,0.000956
0,1000,2,0.000911
0,1000,3,0.000911
0,1000,4,0.000927
0,1000,5,0.000922
0,1000,6,0.000913
0,1000,7,0.000921
0,1000,8,0.000916
0,1000,9,0.000930
0,1000,10,0.000928
1,1000,1,0.000007
1,1000,2,0.000005
1,1000,3,0.000006
1,1000,4,0.000005
1,1000,5,0.000006
1,1000,6,0.000006
1,1000,7,0.000006
1,1000,8,0.000006
1,1000,9,0.000005
1,1000,10,0.000006
2,1000,1,0.001872
2,1000,2,0.001839
2,1000,3,0.001832
2,1000,4,0.001840
2,1000,5,0.001881
2,1000,6,0.001848
2,1000,7,0.001815
2,1000,8,0.001848
2,1000,9,0.001880
2,1000,10,0.001834
