vector_type,vector_size,iteration,execution_time
0,1000,1,0.002845
0,1000,2,0.002813
0,1000,3,0.003092
0,1000,4,0.002830
0,1000,5,0.002716
0,1000,6,0.002765
0,1000,7,0.002862
0,1000,8,0.002810
0,1000,9,0.002785
0,1000,10,0.002772
1,1000,1,0.001518
1,1000,2,0.001513
1,1000,3,0.001489
1,1000,4,0.001479
1,1000,5,0.001532
1,1000,6,0.001483
1,1000,7,0.001479
1,1000,8,0.001483
1,1000,9,0.001482
1,1000,10,0.001465
2,1000,1,0.003369
2,1000,2,0.003563
2,1000,3,0.003501
2,1000,4,0.003552
2,1000,5,0.003593
2,1000,6,0.003609
2,1000,7,0.003540
2,1000,8,0.003625
2,1000,9,0.003679
2,1000,10,0.003473
