vector_type,vector_size,iteration,execution_time
0,1000,1,0.000117
0,1000,2,0.000121
0,1000,3,0.000139
0,1000,4,0.000115
0,1000,5,0.000115
0,1000,6,0.000110
0,1000,7,0.000120
0,1000,8,0.000118
0,1000,9,0.000116
0,1000,10,0.000115
1,1000,1,0.001281
1,1000,2,0.001262
1,1000,3,0.001286
1,1000,4,0.001262
1,1000,5,0.001272
1,1000,6,0.001223
1,1000,7,0.001244
1,1000,8,0.001222
1,1000,9,0.001271
1,1000,10,0.001230
2,1000,1,0.001526
2,1000,2,0.001336
2,1000,3,0.001303
2,1000,4,0.001325
2,1000,5,0.001344
2,1000,6,0.001380
2,1000,7,0.001311
2,1000,8,0.001557
2,1000,9,0.001528
2,1000,10,0.001343
