vector_type,vector_size,iteration,execution_time
0,25,1,0.000056
0,25,2,0.000031
0,25,3,0.000034
0,25,4,0.000036
0,25,5,0.000033
0,25,6,0.000049
0,25,7,0.000051
0,25,8,0.000048
0,25,9,0.000047
0,25,10,0.000063
0,100,1,0.000077
0,100,2,0.000038
0,100,3,0.000035
0,100,4,0.000034
0,100,5,0.000035
0,100,6,0.000036
0,100,7,0.000036
0,100,8,0.000036
0,100,9,0.000036
0,100,10,0.000037
0,500,1,0.000043
0,500,2,0.000042
0,500,3,0.000043
0,500,4,0.000042
0,500,5,0.000040
0,500,6,0.000039
0,500,7,0.000040
0,500,8,0.000038
0,500,9,0.000040
0,500,10,0.000039
0,1000,1,0.000047
0,1000,2,0.000077
0,1000,3,0.000059
0,1000,4,0.000071
0,1000,5,0.000068
0,1000,6,0.000063
0,1000,7,0.000046
0,1000,8,0.000048
0,1000,9,0.000047
0,1000,10,0.000047
0,2500,1,0.000067
0,2500,2,0.000102
0,2500,3,0.000067
0,2500,4,0.000078
0,2500,5,0.000067
0,2500,6,0.000064
0,2500,7,0.000066
0,2500,8,0.000067
0,2500,9,0.000066
0,2500,10,0.000067
0,5000,1,0.000098
0,5000,2,0.000099
0,5000,3,0.000097
0,5000,4,0.000099
0,5000,5,0.000099
0,5000,6,0.000099
0,5000,7,0.000099
0,5000,8,0.000099
0,5000,9,0.000112
0,5000,10,0.000098
0,7500,1,0.000231
0,7500,2,0.000211
0,7500,3,0.000139
0,7500,4,0.000130
0,7500,5,0.000140
0,7500,6,0.000140
0,7500,7,0.000142
0,7500,8,0.000138
0,7500,9,0.000141
0,7500,10,0.000139
0,10000,1,0.000322
0,10000,2,0.000176
0,10000,3,0.000177
0,10000,4,0.000178
0,10000,5,0.000173
0,10000,6,0.000176
0,10000,7,0.000163
0,10000,8,0.000164
0,10000,9,0.000163
0,10000,10,0.000166
0,15000,1,0.000262
0,15000,2,0.000229
0,15000,3,0.000241
0,15000,4,0.000229
0,15000,5,0.000270
0,15000,6,0.000230
0,15000,7,0.000245
0,15000,8,0.000251
0,15000,9,0.000229
0,15000,10,0.000241
0,20000,1,0.000316
0,20000,2,0.000295
0,20000,3,0.000313
0,20000,4,0.000317
0,20000,5,0.000295
0,20000,6,0.000293
0,20000,7,0.000317
0,20000,8,0.000295
0,20000,9,0.000295
0,20000,10,0.000294
0,25000,1,0.000359
0,25000,2,0.000371
0,25000,3,0.000360
0,25000,4,0.000377
0,25000,5,0.000383
0,25000,6,0.000668
0,25000,7,0.000414
0,25000,8,0.000361
0,25000,9,0.000383
0,25000,10,0.000385
0,30000,1,0.000426
0,30000,2,0.000428
0,30000,3,0.000425
0,30000,4,0.000526
0,30000,5,0.000425
0,30000,6,0.000453
0,30000,7,0.000454
0,30000,8,0.000425
0,30000,9,0.000427
0,30000,10,0.000453
0,35000,1,0.000504
0,35000,2,0.000497
0,35000,3,0.000557
0,35000,4,0.000493
0,35000,5,0.000491
0,35000,6,0.000491
0,35000,7,0.000493
0,35000,8,0.000525
0,35000,9,0.000541
0,35000,10,0.000495
0,40000,1,0.000556
0,40000,2,0.000558
0,40000,3,0.000557
0,40000,4,0.000586
0,40000,5,0.000588
0,40000,6,0.000559
0,40000,7,0.000560
0,40000,8,0.000572
0,40000,9,0.000564
0,40000,10,0.000584
0,45000,1,0.000905
0,45000,2,0.000631
0,45000,3,0.000625
0,45000,4,0.000649
0,45000,5,0.000630
0,45000,6,0.000624
0,45000,7,0.000673
0,45000,8,0.000666
0,45000,9,0.000637
0,45000,10,0.000629
0,50000,1,0.000721
0,50000,2,0.000709
0,50000,3,0.000756
0,50000,4,0.000791
0,50000,5,0.000712
0,50000,6,0.000753
0,50000,7,0.000741
0,50000,8,0.000710
0,50000,9,0.000702
0,50000,10,0.000912
0,55000,1,0.000778
0,55000,2,0.000769
0,55000,3,0.000795
0,55000,4,0.000842
0,55000,5,0.000819
0,55000,6,0.000773
0,55000,7,0.000837
0,55000,8,0.000824
0,55000,9,0.001300
0,55000,10,0.000840
0,60000,1,0.000841
0,60000,2,0.000881
0,60000,3,0.000855
0,60000,4,0.000913
0,60000,5,0.000884
0,60000,6,0.000846
0,60000,7,0.000850
0,60000,8,0.000877
0,60000,9,0.000859
0,60000,10,0.000868
0,65000,1,0.000927
0,65000,2,0.001476
0,65000,3,0.001002
0,65000,4,0.000957
0,65000,5,0.000953
0,65000,6,0.000957
0,65000,7,0.000990
0,65000,8,0.000972
0,65000,9,0.001006
0,65000,10,0.000977
0,70000,1,0.001112
0,70000,2,0.001094
0,70000,3,0.001115
0,70000,4,0.001019
0,70000,5,0.001019
0,70000,6,0.001162
0,70000,7,0.001038
0,70000,8,0.001026
0,70000,9,0.001020
0,70000,10,0.001012
0,75000,1,0.001210
0,75000,2,0.001114
0,75000,3,0.001184
0,75000,4,0.001122
0,75000,5,0.001108
0,75000,6,0.001105
0,75000,7,0.001126
0,75000,8,0.001098
0,75000,9,0.001106
0,75000,10,0.001116
0,80000,1,0.001411
0,80000,2,0.001188
0,80000,3,0.001268
0,80000,4,0.001197
0,80000,5,0.001216
0,80000,6,0.001217
0,80000,7,0.001191
0,80000,8,0.001190
0,80000,9,0.001187
0,80000,10,0.001184
0,85000,1,0.001270
0,85000,2,0.001273
0,85000,3,0.001385
0,85000,4,0.001479
0,85000,5,0.001396
0,85000,6,0.001272
0,85000,7,0.001275
0,85000,8,0.001304
0,85000,9,0.001773
0,85000,10,0.001266
0,90000,1,0.001358
0,90000,2,0.001470
0,90000,3,0.001555
0,90000,4,0.001354
0,90000,5,0.001350
0,90000,6,0.001486
0,90000,7,0.001356
0,90000,8,0.001493
0,90000,9,0.001355
0,90000,10,0.001508
0,95000,1,0.001615
0,95000,2,0.001491
0,95000,3,0.001554
0,95000,4,0.001575
0,95000,5,0.001460
0,95000,6,0.001550
0,95000,7,0.001481
0,95000,8,0.001493
0,95000,9,0.001474
0,95000,10,0.001456
0,100000,1,0.001535
0,100000,2,0.001550
0,100000,3,0.001529
0,100000,4,0.001573
0,100000,5,0.001709
0,100000,6,0.001559
0,100000,7,0.001644
0,100000,8,0.001660
0,100000,9,0.001551
0,100000,10,0.001548
