vector_type,vector_size,iteration,execution_time
0,25,1,0.000005
0,25,2,0.000003
0,25,3,0.000003
0,25,4,0.000004
0,25,5,0.000003
0,25,6,0.000005
0,25,7,0.000005
0,25,8,0.000005
0,25,9,0.000005
0,25,10,0.000007
0,100,1,0.000018
0,100,2,0.000012
0,100,3,0.000012
0,100,4,0.000013
0,100,5,0.000012
0,100,6,0.000012
0,100,7,0.000012
0,100,8,0.000012
0,100,9,0.000012
0,100,10,0.000012
0,500,1,0.000071
0,500,2,0.000071
0,500,3,0.000069
0,500,4,0.000070
0,500,5,0.000077
0,500,6,0.000067
0,500,7,0.000065
0,500,8,0.000065
0,500,9,0.000067
0,500,10,0.000064
0,1000,1,0.000142
0,1000,2,0.000206
0,1000,3,0.000378
0,1000,4,0.000175
0,1000,5,0.000156
0,1000,6,0.000163
0,1000,7,0.000145
0,1000,8,0.000139
0,1000,9,0.000138
0,1000,10,0.000142
0,2500,1,0.000448
0,2500,2,0.000396
0,2500,3,0.000575
0,2500,4,0.000394
0,2500,5,0.000378
0,2500,6,0.000385
0,2500,7,0.000381
0,2500,8,0.000382
0,2500,9,0.000380
0,2500,10,0.000383
0,5000,1,0.000807
0,5000,2,0.000812
0,5000,3,0.000835
0,5000,4,0.000813
0,5000,5,0.000820
0,5000,6,0.000812
0,5000,7,0.000817
0,5000,8,0.000977
0,5000,9,0.000826
0,5000,10,0.000820
0,7500,1,0.001394
0,7500,2,0.001909
0,7500,3,0.001572
0,7500,4,0.001267
0,7500,5,0.001270
0,7500,6,0.001364
0,7500,7,0.001373
0,7500,8,0.001349
0,7500,9,0.001368
0,7500,10,0.001371
0,10000,1,0.001847
0,10000,2,0.002066
0,10000,3,0.001863
0,10000,4,0.001855
0,10000,5,0.001850
0,10000,6,0.001848
0,10000,7,0.001882
0,10000,8,0.001753
0,10000,9,0.001727
0,10000,10,0.001729
0,15000,1,0.002824
0,15000,2,0.002699
0,15000,3,0.002946
0,15000,4,0.002719
0,15000,5,0.002687
0,15000,6,0.002677
0,15000,7,0.002886
0,15000,8,0.002855
0,15000,9,0.002683
0,15000,10,0.002710
0,20000,1,0.003664
0,20000,2,0.003669
0,20000,3,0.004267
0,20000,4,0.003935
0,20000,5,0.004019
0,20000,6,0.003717
0,20000,7,0.004094
0,20000,8,0.003904
0,20000,9,0.003654
0,20000,10,0.003671
0,25000,1,0.004675
0,25000,2,0.004755
0,25000,3,0.004691
0,25000,4,0.005158
0,25000,5,0.005080
0,25000,6,0.005047
0,25000,7,0.006959
0,25000,8,0.004856
0,25000,9,0.004625
0,25000,10,0.004979
0,30000,1,0.006353
0,30000,2,0.006154
0,30000,3,0.005786
0,30000,4,0.005718
0,30000,5,0.005755
0,30000,6,0.005649
0,30000,7,0.006054
0,30000,8,0.006116
0,30000,9,0.005704
0,30000,10,0.005740
0,35000,1,0.007162
0,35000,2,0.006706
0,35000,3,0.006845
0,35000,4,0.006741
0,35000,5,0.006706
0,35000,6,0.006815
0,35000,7,0.007159
0,35000,8,0.007006
0,35000,9,0.006721
0,35000,10,0.006830
0,40000,1,0.007911
0,40000,2,0.007834
0,40000,3,0.007697
0,40000,4,0.008156
0,40000,5,0.007906
0,40000,6,0.007891
0,40000,7,0.007896
0,40000,8,0.008310
0,40000,9,0.007815
0,40000,10,0.007962
0,45000,1,0.008780
0,45000,2,0.008802
0,45000,3,0.008897
0,45000,4,0.009122
0,45000,5,0.009557
0,45000,6,0.008816
0,45000,7,0.009400
0,45000,8,0.009459
0,45000,9,0.009521
0,45000,10,0.009034
0,50000,1,0.009985
0,50000,2,0.010616
0,50000,3,0.009874
0,50000,4,0.010587
0,50000,5,0.010552
0,50000,6,0.009997
0,50000,7,0.010598
0,50000,8,0.010117
0,50000,9,0.009866
0,50000,10,0.010578
0,55000,1,0.011267
0,55000,2,0.011318
0,55000,3,0.011185
0,55000,4,0.011833
0,55000,5,0.011691
0,55000,6,0.011586
0,55000,7,0.011192
0,55000,8,0.011724
0,55000,9,0.011085
0,55000,10,0.011063
0,60000,1,0.012826
0,60000,2,0.012190
0,60000,3,0.012204
0,60000,4,0.011956
0,60000,5,0.012007
0,60000,6,0.012087
0,60000,7,0.012158
0,60000,8,0.012804
0,60000,9,0.012055
0,60000,10,0.012024
0,65000,1,0.013079
0,65000,2,0.013241
0,65000,3,0.014054
0,65000,4,0.013677
0,65000,5,0.012881
0,65000,6,0.012977
0,65000,7,0.013886
0,65000,8,0.013126
0,65000,9,0.013785
0,65000,10,0.013106
0,70000,1,0.014812
0,70000,2,0.014433
0,70000,3,0.014211
0,70000,4,0.015117
0,70000,5,0.014546
0,70000,6,0.014396
0,70000,7,0.014687
0,70000,8,0.014207
0,70000,9,0.014350
0,70000,10,0.015535
0,75000,1,0.015358
0,75000,2,0.016299
0,75000,3,0.015977
0,75000,4,0.015658
0,75000,5,0.015917
0,75000,6,0.015317
0,75000,7,0.015356
0,75000,8,0.016268
0,75000,9,0.015720
0,75000,10,0.016168
0,80000,1,0.016416
0,80000,2,0.016471
0,80000,3,0.016515
0,80000,4,0.016660
0,80000,5,0.016557
0,80000,6,0.016423
0,80000,7,0.016637
0,80000,8,0.016849
0,80000,9,0.016596
0,80000,10,0.016409
0,85000,1,0.017504
0,85000,2,0.018682
0,85000,3,0.017910
0,85000,4,0.018868
0,85000,5,0.018591
0,85000,6,0.019043
0,85000,7,0.018560
0,85000,8,0.017650
0,85000,9,0.017578
0,85000,10,0.017509
0,90000,1,0.018566
0,90000,2,0.019240
0,90000,3,0.019120
0,90000,4,0.019047
0,90000,5,0.018892
0,90000,6,0.019990
0,90000,7,0.019785
0,90000,8,0.018641
0,90000,9,0.019132
0,90000,10,0.018453
0,95000,1,0.020178
0,95000,2,0.020403
0,95000,3,0.020947
0,95000,4,0.020533
0,95000,5,0.021246
0,95000,6,0.022030
0,95000,7,0.019792
0,95000,8,0.020168
0,95000,9,0.019800
0,95000,10,0.019733
0,100000,1,0.022233
0,100000,2,0.020914
0,100000,3,0.021705
0,100000,4,0.021154
0,100000,5,0.022228
0,100000,6,0.022079
0,100000,7,0.020989
0,100000,8,0.022077
0,100000,9,0.021648
0,100000,10,0.020911
