vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000003
0,25,3,0.000003
0,25,4,0.000003
0,25,5,0.000003
0,25,6,0.000003
0,25,7,0.000002
0,25,8,0.000003
0,25,9,0.000002
0,25,10,0.000003
0,100,1,0.000012
0,100,2,0.000012
0,100,3,0.000012
0,100,4,0.000012
0,100,5,0.000012
0,100,6,0.000011
0,100,7,0.000011
0,100,8,0.000011
0,100,9,0.000012
0,100,10,0.000012
0,500,1,0.000074
0,500,2,0.000074
0,500,3,0.000074
0,500,4,0.000075
0,500,5,0.000072
0,500,6,0.000074
0,500,7,0.000089
0,500,8,0.000074
0,500,9,0.000070
0,500,10,0.000095
0,1000,1,0.000222
0,1000,2,0.000153
0,1000,3,0.000155
0,1000,4,0.000155
0,1000,5,0.000151
0,1000,6,0.000152
0,1000,7,0.000154
0,1000,8,0.000151
0,1000,9,0.000150
0,1000,10,0.000153
0,2500,1,0.000426
0,2500,2,0.000426
0,2500,3,0.000432
0,2500,4,0.000445
0,2500,5,0.000427
0,2500,6,0.000572
0,2500,7,0.000433
0,2500,8,0.000433
0,2500,9,0.000435
0,2500,10,0.000432
0,5000,1,0.000938
0,5000,2,0.000938
0,5000,3,0.000936
0,5000,4,0.000954
0,5000,5,0.000936
0,5000,6,0.000929
0,5000,7,0.000961
0,5000,8,0.001406
0,5000,9,0.001259
0,5000,10,0.001064
0,7500,1,0.001618
0,7500,2,0.001529
0,7500,3,0.001472
0,7500,4,0.001474
0,7500,5,0.002019
0,7500,6,0.001512
0,7500,7,0.001472
0,7500,8,0.001454
0,7500,9,0.001491
0,7500,10,0.001542
0,10000,1,0.002046
0,10000,2,0.002039
0,10000,3,0.002060
0,10000,4,0.002043
0,10000,5,0.002025
0,10000,6,0.002039
0,10000,7,0.002007
0,10000,8,0.002304
0,10000,9,0.002175
0,10000,10,0.002252
0,15000,1,0.003702
0,15000,2,0.003189
0,15000,3,0.003797
0,15000,4,0.003273
0,15000,5,0.003236
0,15000,6,0.003187
0,15000,7,0.003413
0,15000,8,0.003414
0,15000,9,0.003220
0,15000,10,0.003490
0,20000,1,0.004585
0,20000,2,0.004700
0,20000,3,0.004476
0,20000,4,0.004554
0,20000,5,0.004382
0,20000,6,0.004398
0,20000,7,0.004416
0,20000,8,0.004385
0,20000,9,0.005697
0,20000,10,0.004430
0,25000,1,0.006061
0,25000,2,0.006076
0,25000,3,0.005642
0,25000,4,0.005745
0,25000,5,0.005758
0,25000,6,0.006466
0,25000,7,0.005670
0,25000,8,0.005742
0,25000,9,0.005834
0,25000,10,0.005623
0,30000,1,0.007136
0,30000,2,0.006923
0,30000,3,0.007177
0,30000,4,0.007009
0,30000,5,0.006923
0,30000,6,0.007437
0,30000,7,0.007388
0,30000,8,0.007157
0,30000,9,0.006973
0,30000,10,0.006941
0,35000,1,0.008281
0,35000,2,0.008313
0,35000,3,0.008270
0,35000,4,0.008283
0,35000,5,0.008239
0,35000,6,0.008449
0,35000,7,0.008923
0,35000,8,0.008347
0,35000,9,0.011547
0,35000,10,0.008854
0,40000,1,0.010193
0,40000,2,0.010461
0,40000,3,0.010443
0,40000,4,0.009893
0,40000,5,0.010256
0,40000,6,0.010333
0,40000,7,0.010218
0,40000,8,0.009614
0,40000,9,0.009703
0,40000,10,0.009676
0,45000,1,0.011032
0,45000,2,0.010902
0,45000,3,0.010917
0,45000,4,0.010995
0,45000,5,0.010848
0,45000,6,0.011311
0,45000,7,0.011493
0,45000,8,0.011083
0,45000,9,0.010871
0,45000,10,0.010949
0,50000,1,0.012123
0,50000,2,0.012212
0,50000,3,0.012928
0,50000,4,0.013101
0,50000,5,0.013243
0,50000,6,0.012338
0,50000,7,0.012192
0,50000,8,0.012306
0,50000,9,0.012127
0,50000,10,0.012728
0,55000,1,0.013496
0,55000,2,0.013872
0,55000,3,0.016884
0,55000,4,0.014221
0,55000,5,0.013887
0,55000,6,0.013797
0,55000,7,0.014697
0,55000,8,0.013562
0,55000,9,0.013587
0,55000,10,0.014517
0,60000,1,0.015177
0,60000,2,0.015028
0,60000,3,0.015053
0,60000,4,0.016160
0,60000,5,0.015033
0,60000,6,0.015953
0,60000,7,0.015081
0,60000,8,0.015846
0,60000,9,0.014913
0,60000,10,0.015052
0,65000,1,0.016453
0,65000,2,0.016567
0,65000,3,0.017560
0,65000,4,0.016492
0,65000,5,0.016405
0,65000,6,0.017263
0,65000,7,0.016798
0,65000,8,0.016366
0,65000,9,0.017446
0,65000,10,0.016515
0,70000,1,0.019036
0,70000,2,0.018001
0,70000,3,0.017781
0,70000,4,0.017854
0,70000,5,0.018991
0,70000,6,0.017988
0,70000,7,0.018885
0,70000,8,0.018005
0,70000,9,0.018136
0,70000,10,0.017733
0,75000,1,0.019195
0,75000,2,0.019195
0,75000,3,0.020571
0,75000,4,0.020556
0,75000,5,0.020227
0,75000,6,0.019467
0,75000,7,0.019197
0,75000,8,0.019246
0,75000,9,0.019612
0,75000,10,0.020445
0,80000,1,0.020722
0,80000,2,0.020701
0,80000,3,0.020794
0,80000,4,0.021891
0,80000,5,0.025526
0,80000,6,0.022849
0,80000,7,0.021872
0,80000,8,0.020886
0,80000,9,0.020813
0,80000,10,0.021988
0,85000,1,0.022634
0,85000,2,0.022237
0,85000,3,0.022025
0,85000,4,0.023590
0,85000,5,0.023359
0,85000,6,0.022259
0,85000,7,0.023694
0,85000,8,0.023469
0,85000,9,0.022994
0,85000,10,0.022506
0,90000,1,0.023546
0,90000,2,0.023529
0,90000,3,0.024382
0,90000,4,0.023744
0,90000,5,0.023425
0,90000,6,0.023400
0,90000,7,0.025127
0,90000,8,0.025161
0,90000,9,0.023709
0,90000,10,0.023582
0,95000,1,0.025913
0,95000,2,0.026858
0,95000,3,0.026615
0,95000,4,0.026536
0,95000,5,0.024985
0,95000,6,0.025043
0,95000,7,0.025406
0,95000,8,0.025237
0,95000,9,0.026725
0,95000,10,0.024985
0,100000,1,0.026903
0,100000,2,0.026782
0,100000,3,0.026721
0,100000,4,0.026443
0,100000,5,0.026462
0,100000,6,0.028158
0,100000,7,0.028372
0,100000,8,0.026767
0,100000,9,0.027233
0,100000,10,0.026503
