vector_type,vector_size,iteration,execution_time
0,1000,1,0.000076
0,1000,2,0.000065
0,1000,3,0.000064
0,1000,4,0.000077
0,1000,5,0.000061
0,1000,6,0.000060
0,1000,7,0.000060
0,1000,8,0.000064
0,1000,9,0.000060
0,1000,10,0.000060
1,1000,1,0.000048
1,1000,2,0.000048
1,1000,3,0.000048
1,1000,4,0.000095
1,1000,5,0.000050
1,1000,6,0.000049
1,1000,7,0.000048
1,1000,8,0.000051
1,1000,9,0.000052
1,1000,10,0.000052
2,1000,1,0.000048
2,1000,2,0.000048
2,1000,3,0.000047
2,1000,4,0.000106
2,1000,5,0.000049
2,1000,6,0.000048
2,1000,7,0.000048
2,1000,8,0.000048
2,1000,9,0.000049
2,1000,10,0.000049
