vector_type,vector_size,iteration,execution_time
0,1000,1,0.000059
0,1000,2,0.000059
0,1000,3,0.000059
0,1000,4,0.000059
0,1000,5,0.000055
0,1000,6,0.000055
0,1000,7,0.000055
0,1000,8,0.000055
0,1000,9,0.000055
0,1000,10,0.000055
1,1000,1,0.000050
1,1000,2,0.000049
1,1000,3,0.000050
1,1000,4,0.000082
1,1000,5,0.000049
1,1000,6,0.000049
1,1000,7,0.000050
1,1000,8,0.000053
1,1000,9,0.000060
1,1000,10,0.000059
2,1000,1,0.000050
2,1000,2,0.000050
2,1000,3,0.000050
2,1000,4,0.000081
2,1000,5,0.000051
2,1000,6,0.000051
2,1000,7,0.000051
2,1000,8,0.000050
2,1000,9,0.000050
2,1000,10,0.000050
